Hip,Distance UT,DistanceGO,Time UT,Time GO,Stride Frequency UT,Stride Frequency GO,Stride Length UT,Stride Length GO,diff
257.0,205.0,205.0,10.2,11.1,2.39,2.38,6.71,6.41,-0.3
258.0,205.0,205.0,10.1,11.0,2.55,2.36,6.43,6.52,0.09
259.0,205.0,205.0,10.2,11.0,2.34,2.75,6.83,6.77,-0.06
260.0,205.0,205.0,-,,,,,,
261.0,205.0,205.0,10,10.3,2.4,2.32,6.83,7.05,0.22
262.0,205.0,205.0,10,10.4,2.34,2.75,6.97,7.18,0.21
263.0,205.0,205.0,,,,,,,
264.0,205.0,205.0,10.1,11.1,2.5,2.75,6.56,6.7,0.14
265.0,205.0,205.0,10.1,10.9,2.92,2.65,6.96,7.09,0.13
266.0,205.0,205.0,10.1,11.0,2.34,2.27,6.9,6.73,-0.17
267.0,205.0,205.0,10,10.4,2.53,2.44,6.56,6.7,0.14
268.0,205.0,205.0,,,,,,,
269.0,205.0,205.0,10,10.4,2.46,2.75,6.7,7.16,0.46
270.0,205.0,205.0,,,,,,,
271.0,205.0,205.0,10.1,10.9,2.91,2.27,6.98,6.79,-0.19
272.0,205.0,205.0,9.4,10.9,2.91,2.75,7.5,6.85,-0.65
273.0,205.0,205.0,,,,,,,
274.0,205.0,205.0,,,,,,,
275.0,205.0,205.0,10.3,11.1,2.43,2.33,6.57,6.52,-0.05
276.0,205.0,205.0,10.3,11.8,2.37,2.65,6.71,6.55,-0.16
277.0,205.0,205.0,10.1,10.9,2.46,2.41,6.64,6.47,-0.17
278.0,205.0,205.0,10.1,10.9,2.72,2.7,7.45,6.98,-0.47
279.0,404.32,205.0,21.2,11.9,2.88,2.7,6.62,6.37,-0.25
280.0,205.0,205.0,10.1,11.0,2.58,2.49,6.37,6.22,-0.15
281.0,205.0,205.0,10.3,11.9,2.78,2.67,7.17,6.44,-0.73
282.0,205.0,205.0,10.2,11.1,2.46,2.41,6.57,6.35,-0.22
283.0,205.0,205.0,10,11.0,2.4,2.7,6.83,6.9,0.07
284.0,404.32,205.0,20.1,11.3,2.37,2.7,6.78,6.71,-0.07
285.0,205.0,205.0,,,,,,,
286.0,205.0,205.0,9.4,10.9,2.59,2.41,6.83,6.47,-0.36
287.0,205.0,205.0,9.4,10.8,2.58,2.47,6.85,6.4,-0.45
288.0,205.0,205.0,10.2,11.1,2.39,2.41,6.71,6.35,-0.36
289.0,205.0,205.0,10.1,10.9,2.46,2.35,6.64,6.6,-0.04
290.0,404.32,205.0,21.2,11.9,2.8,2.56,6.81,6.74,-0.07
291.0,205.0,205.0,,,,,,,
292.0,205.0,205.0,10,10.3,2.39,2.35,6.85,6.99,0.14
293.0,404.32,205.0,20.3,11.8,2.78,2.56,7.17,6.79,-0.38
294.0,404.32,205.0,20.4,11.8,2.4,2.7,6.6,6.45,-0.15
295.0,205.0,205.0,,,,,,,
296.0,205.0,205.0,10.1,11.0,2.55,2.53,6.43,6.15,-0.28
297.0,205.0,205.0,10,11.0,2.55,2.41,6.5,6.41,-0.09
298.0,205.0,205.0,10,10.2,2.43,2.38,6.77,6.97,0.2
299.0,404.32,205.0,20.2,11.9,2.82,2.65,7.09,6.49,-0.6
300.0,205.0,205.0,10.1,10.9,2.88,2.72,7.04,6.9,-0.14
301.0,205.0,205.0,10,10.2,2.63,2.43,6.36,6.85,0.49
302.0,205.0,205.0,9.4,10.9,2.55,2.38,6.91,6.53,-0.38
