Hip,Sex,Sire,State,TBX #,Day / Set,Distance,UT Time,GO Time,G.O. 1/4,G.O. 3/8,G.O. 1/2,G.O. 5/8,A.W. 1/8,A.W. 1/4,A.W. 3/8,DI,CD,Wind,Temp,Notes,Track Cond.,Barn,Consignor,Auction History,Stud Fee
630,C,Girvin,KY,,4 / 48,1/4,21.3,,,,,,,,,,,,,,,4,Ocala Stud,,
631,C,Jackie's Warrior,KY,,4 / 69,1/8,9.4,,,,,,,,,,,,,,,6,"Britton Peak, Agent II",,
634,F,Tapit,KY,,4 / 44,1/8,10.0,,,,,,,,,,,,,,,13,"Azpurua Stables, Agent I",,
636,C,Bucchero,FL,,4 / 22,1/4,21.3,,,,,,,,,,,,,,,13,Blue River Bloodstock,,
637,F,Olympiad,KY,,4 / 27,1/8,10.0,,,,,,,,,,,,,,,6,"RiceHorse Stable (Brandon & Ali Rice), Agent",,
640,C,Army Mule,KY,,4 / 54,1/8,10.3,,,,,,,,,,,,,,,11,"Randy Miles, Agent VIII",,
641,F,Golden Pal,KY,,4 / 23,1/8,9.4,,,,,,,,,,,,,,,9,"Old South Farm LLC, Agent II",,
642,C,Catalina Cruiser,KY,,4 / 47,1/8,10.0,,,,,,,,,,,,,,,12,"Really and Truly Thoroughbreds, Agent I",,
643,F,Galilean,NY,,4 / 110,1/8,10.1,,,,,,,,,,,,,,,14,"Two Cousins Training and Sales, Agent III",,
644,F,Cairo Prince,KY,,4 / 66,1/8,10.1,,,,,,,,,,,,,,,10,"Flynt Fesmire, Agent I",,
647,C,Liam's Map,KY,,4 / 20,1/8,10.0,,,,,,,,,,,,,,,13,"Blue Sapphire Stables, Agent II",,
649,F,Yaupon,AR,,4 / 93,1/8,10.0,,,,,,,,,,,,,,,14,"Omar Ramirez Bloodstock, Agent I",,
651,F,Liam's Map,KY,,4 / 106,1/8,10.1,,,,,,,,,,,,,,,8,Andrew Phelan Bloodstock,,
656,F,Mitole,KY,,4 / 61,1/8,10.0,,,,,,,,,,,,,,,4,"Camelot Acres Racing and Sales, Agent I",,
658,C,Drain the Clock,OH,,4 / 51,1/8,10.0,,,,,,,,,,,,,,,14,"Omar Ramirez Bloodstock, Agent XIX",,
660,F,Corniche,KY,,4 / 16,1/8,9.4,,,,,,,,,,,,,,,6,"Britton Peak, Agent II",,
661,C,Maximus Mischief,KY,,4 / 70,1/8,9.4,,,,,,,,,,,,,,,3,Double R Equine Sales,,
662,F,Jack Christopher,KY,,4 / 28,1/8,10.1,,,,,,,,,,,,,,,15,"CM Thoroughbreds, Agent I",,
664,C,Complexity,KY,,4 / 1,1/4,21.3,,,,,,,,,,,,,,,10,"Tom McCrocklin, Agent",,
667,F,Global Campaign,KY,,4 / 41,1/8,10.0,,,,,,,,,,,,,,,1,"Top Line Sales LLC, Agent IV",,
668,C,Dialed In,FL,,4 / 119,1/8,10.1,,,,,,,,,,,,,,,16,"Advanced Thoroughbreds LLC, Agent I",,
669,F,Happy Saver,KY,,4 / 36,1/8,10.2,,,,,,,,,,,,,,,13,Marco Hernandez Stables LLC,,
